emotion,confidence_min,confidence_max,response
admiration,0,0.3,It’s okay to feel admiration and I’m here to listen.
admiration,0,0.3,This is an opportunity to explore admiration and it’s important to process it together.
admiration,0,0.3,I’d like to understand more about admiration in this moment—let’s talk through it.
admiration,0,0.3,Let's talk more about the feeling of admiration —let's take a moment to reflect on it.
admiration,0,0.3,This is an opportunity to explore admiration and how you’re managing it.
admiration,0,0.3,This is an opportunity to explore admiration and I’m here to listen.
admiration,0,0.3,I'm sensing a strong emotion of admiration in this moment—let’s talk through it.
admiration,0,0.3,Let's talk more about the feeling of admiration and I’m here to listen.
admiration,0,0.3,It seems like you're feeling admiration and it’s important to process it together.
admiration,0,0.3,You might be experiencing admiration and what it means to you.
admiration,0,0.3,Could you share more about admiration and let’s explore what we can do about it.
admiration,0,0.3,Could you share more about admiration and it’s important to process it together.
admiration,0,0.3,Could you share more about admiration and what might be triggering it.
admiration,0,0.3,It’s okay to feel admiration and what it means to you.
admiration,0,0.3,This could be a moment of admiration and it’s important to process it together.
admiration,0,0.3,It seems like you're feeling admiration and it’s important to process it together.
admiration,0,0.3,This could be a moment of admiration in this moment—let’s talk through it.
admiration,0,0.3,It seems like you're feeling admiration and let’s explore what we can do about it.
admiration,0,0.3,This is an opportunity to explore admiration and how it’s affecting you right now.
admiration,0,0.3,I'm sensing a strong emotion of admiration and how it’s affecting you right now.
admiration,0.3,0.7,It sounds like you're going through admiration and how it’s affecting you right now.
admiration,0.3,0.7,It seems like you're feeling admiration and how you’re managing it.
admiration,0.3,0.7,Could you share more about admiration and what it means to you.
admiration,0.3,0.7,This is an opportunity to explore admiration and let’s explore what we can do about it.
admiration,0.3,0.7,It seems like you're feeling admiration and how it’s affecting you right now.
admiration,0.3,0.7,It’s okay to feel admiration and how you’re managing it.
admiration,0.3,0.7,This is an opportunity to explore admiration in this moment—let’s talk through it.
admiration,0.3,0.7,You might be experiencing admiration and what it means to you.
admiration,0.3,0.7,It sounds like you're going through admiration and what might be triggering it.
admiration,0.3,0.7,This could be a moment of admiration and I’m here to support you.
admiration,0.3,0.7,This could be a moment of admiration and let’s explore what we can do about it.
admiration,0.3,0.7,This could be a moment of admiration and I’m here to listen.
admiration,0.3,0.7,Could you share more about admiration and how it’s affecting you right now.
admiration,0.3,0.7,I'm sensing a strong emotion of admiration and let’s explore what we can do about it.
admiration,0.3,0.7,Let's talk more about the feeling of admiration and it’s important to process it together.
admiration,0.3,0.7,I'm sensing a strong emotion of admiration and I’m here to support you.
admiration,0.3,0.7,This could be a moment of admiration and I’m here to support you.
admiration,0.3,0.7,I'm sensing a strong emotion of admiration and let’s explore what we can do about it.
admiration,0.3,0.7,You might be experiencing admiration and what it means to you.
admiration,0.3,0.7,It seems like you're feeling admiration and what might be triggering it.
admiration,0.7,1,It seems like you're feeling admiration and how you’re managing it.
admiration,0.7,1,You might be experiencing admiration —let's take a moment to reflect on it.
admiration,0.7,1,It seems like you're feeling admiration and I’m here to support you.
admiration,0.7,1,It seems like you're feeling admiration in this moment—let’s talk through it.
admiration,0.7,1,It’s okay to feel admiration and what it means to you.
admiration,0.7,1,It sounds like you're going through admiration and I’m here to listen.
admiration,0.7,1,You might be experiencing admiration and how it’s affecting you right now.
admiration,0.7,1,Let's talk more about the feeling of admiration and let’s explore what we can do about it.
admiration,0.7,1,I’d like to understand more about admiration and what might be triggering it.
admiration,0.7,1,This is an opportunity to explore admiration and I’m here to listen.
admiration,0.7,1,This could be a moment of admiration and it’s important to process it together.
admiration,0.7,1,This is an opportunity to explore admiration and what might be triggering it.
admiration,0.7,1,This is an opportunity to explore admiration in this moment—let’s talk through it.
admiration,0.7,1,It’s okay to feel admiration and it’s important to process it together.
admiration,0.7,1,This could be a moment of admiration and how you’re managing it.
admiration,0.7,1,You might be experiencing admiration and it’s important to process it together.
admiration,0.7,1,It sounds like you're going through admiration and it’s important to process it together.
admiration,0.7,1,This is an opportunity to explore admiration and I’m here to listen.
admiration,0.7,1,Let's talk more about the feeling of admiration and I’m here to listen.
admiration,0.7,1,I'm sensing a strong emotion of admiration and how it’s affecting you right now.
amusement,0,0.2,Let's talk more about the feeling of amusement and how you’re managing it.
amusement,0,0.2,I’d like to understand more about amusement in this moment—let’s talk through it.
amusement,0,0.2,You might be experiencing amusement and how it’s affecting you right now.
amusement,0,0.2,Could you share more about amusement and I’m here to support you.
amusement,0,0.2,Let's talk more about the feeling of amusement and I’m here to listen.
amusement,0,0.2,This is an opportunity to explore amusement and it’s important to process it together.
amusement,0,0.2,This could be a moment of amusement and what it means to you.
amusement,0,0.2,Could you share more about amusement and let’s explore what we can do about it.
amusement,0,0.2,I’d like to understand more about amusement and what might be triggering it.
amusement,0,0.2,This is an opportunity to explore amusement and let’s explore what we can do about it.
amusement,0,0.2,This is an opportunity to explore amusement and what it means to you.
amusement,0,0.2,You might be experiencing amusement and how you’re managing it.
amusement,0,0.2,Could you share more about amusement and let’s explore what we can do about it.
amusement,0,0.2,It’s okay to feel amusement —let's take a moment to reflect on it.
amusement,0,0.2,I’d like to understand more about amusement and what it means to you.
amusement,0,0.2,It sounds like you're going through amusement and what it means to you.
amusement,0,0.2,You might be experiencing amusement and let’s explore what we can do about it.
amusement,0,0.2,It sounds like you're going through amusement and I’m here to listen.
amusement,0,0.2,This is an opportunity to explore amusement and I’m here to listen.
amusement,0,0.2,I’d like to understand more about amusement —let's take a moment to reflect on it.
amusement,0.2,0.6,It seems like you're feeling amusement and let’s explore what we can do about it.
amusement,0.2,0.6,I’d like to understand more about amusement and how you’re managing it.
amusement,0.2,0.6,Let's talk more about the feeling of amusement and I’m here to support you.
amusement,0.2,0.6,You might be experiencing amusement —let's take a moment to reflect on it.
amusement,0.2,0.6,It seems like you're feeling amusement and how you’re managing it.
amusement,0.2,0.6,It’s okay to feel amusement and let’s explore what we can do about it.
amusement,0.2,0.6,Let's talk more about the feeling of amusement and what it means to you.
amusement,0.2,0.6,This is an opportunity to explore amusement and I’m here to support you.
amusement,0.2,0.6,This could be a moment of amusement and what might be triggering it.
amusement,0.2,0.6,It seems like you're feeling amusement —let's take a moment to reflect on it.
amusement,0.2,0.6,It seems like you're feeling amusement and I’m here to support you.
amusement,0.2,0.6,I'm sensing a strong emotion of amusement and I’m here to listen.
amusement,0.2,0.6,It sounds like you're going through amusement and what might be triggering it.
amusement,0.2,0.6,I'm sensing a strong emotion of amusement and what it means to you.
amusement,0.2,0.6,Could you share more about amusement and what might be triggering it.
amusement,0.2,0.6,Let's talk more about the feeling of amusement and let’s explore what we can do about it.
amusement,0.2,0.6,It seems like you're feeling amusement and let’s explore what we can do about it.
amusement,0.2,0.6,I’d like to understand more about amusement and let’s explore what we can do about it.
amusement,0.2,0.6,Let's talk more about the feeling of amusement and it’s important to process it together.
amusement,0.2,0.6,This is an opportunity to explore amusement —let's take a moment to reflect on it.
amusement,0.6,1,I'm sensing a strong emotion of amusement and how it’s affecting you right now.
amusement,0.6,1,It sounds like you're going through amusement in this moment—let’s talk through it.
amusement,0.6,1,Let's talk more about the feeling of amusement and I’m here to listen.
amusement,0.6,1,This is an opportunity to explore amusement and what it means to you.
amusement,0.6,1,Could you share more about amusement —let's take a moment to reflect on it.
amusement,0.6,1,I’d like to understand more about amusement —let's take a moment to reflect on it.
amusement,0.6,1,I’d like to understand more about amusement and what might be triggering it.
amusement,0.6,1,I'm sensing a strong emotion of amusement and what it means to you.
amusement,0.6,1,I’d like to understand more about amusement and what might be triggering it.
amusement,0.6,1,This is an opportunity to explore amusement and I’m here to listen.
amusement,0.6,1,It seems like you're feeling amusement and what might be triggering it.
amusement,0.6,1,Could you share more about amusement and how you’re managing it.
amusement,0.6,1,It sounds like you're going through amusement and how it’s affecting you right now.
amusement,0.6,1,It’s okay to feel amusement and how it’s affecting you right now.
amusement,0.6,1,It seems like you're feeling amusement and how it’s affecting you right now.
amusement,0.6,1,I’d like to understand more about amusement and how you’re managing it.
amusement,0.6,1,I'm sensing a strong emotion of amusement and let’s explore what we can do about it.
amusement,0.6,1,It seems like you're feeling amusement and it’s important to process it together.
amusement,0.6,1,It sounds like you're going through amusement in this moment—let’s talk through it.
amusement,0.6,1,This could be a moment of amusement and what might be triggering it.
anger,0,0.3,It sounds like you're going through anger and how it’s affecting you right now.
anger,0,0.3,It seems like you're feeling anger and let’s explore what we can do about it.
anger,0,0.3,It seems like you're feeling anger —let's take a moment to reflect on it.
anger,0,0.3,You might be experiencing anger and what might be triggering it.
anger,0,0.3,You might be experiencing anger in this moment—let’s talk through it.
anger,0,0.3,I’d like to understand more about anger and I’m here to support you.
anger,0,0.3,I'm sensing a strong emotion of anger and how you’re managing it.
anger,0,0.3,This is an opportunity to explore anger and I’m here to support you.
anger,0,0.3,This is an opportunity to explore anger in this moment—let’s talk through it.
anger,0,0.3,This could be a moment of anger and how it’s affecting you right now.
anger,0,0.3,Let's talk more about the feeling of anger and I’m here to listen.
anger,0,0.3,Let's talk more about the feeling of anger and how you’re managing it.
anger,0,0.3,It’s okay to feel anger and let’s explore what we can do about it.
anger,0,0.3,It sounds like you're going through anger and how you’re managing it.
anger,0,0.3,Let's talk more about the feeling of anger and what might be triggering it.
anger,0,0.3,I'm sensing a strong emotion of anger and what might be triggering it.
anger,0,0.3,It seems like you're feeling anger and how it’s affecting you right now.
anger,0,0.3,Could you share more about anger and I’m here to support you.
anger,0,0.3,I’d like to understand more about anger and let’s explore what we can do about it.
anger,0,0.3,I'm sensing a strong emotion of anger and how you’re managing it.
anger,0.3,0.6,It’s okay to feel anger and I’m here to listen.
anger,0.3,0.6,Could you share more about anger and what it means to you.
anger,0.3,0.6,This could be a moment of anger and it’s important to process it together.
anger,0.3,0.6,I'm sensing a strong emotion of anger and I’m here to listen.
anger,0.3,0.6,Let's talk more about the feeling of anger —let's take a moment to reflect on it.
anger,0.3,0.6,It’s okay to feel anger in this moment—let’s talk through it.
anger,0.3,0.6,You might be experiencing anger and what might be triggering it.
anger,0.3,0.6,This is an opportunity to explore anger and what might be triggering it.
anger,0.3,0.6,I'm sensing a strong emotion of anger —let's take a moment to reflect on it.
anger,0.3,0.6,You might be experiencing anger and what might be triggering it.
anger,0.3,0.6,I'm sensing a strong emotion of anger and what it means to you.
anger,0.3,0.6,This could be a moment of anger in this moment—let’s talk through it.
anger,0.3,0.6,This could be a moment of anger —let's take a moment to reflect on it.
anger,0.3,0.6,It sounds like you're going through anger and how you’re managing it.
anger,0.3,0.6,You might be experiencing anger and let’s explore what we can do about it.
anger,0.3,0.6,It seems like you're feeling anger and I’m here to support you.
anger,0.3,0.6,It sounds like you're going through anger in this moment—let’s talk through it.
anger,0.3,0.6,I’d like to understand more about anger and I’m here to support you.
anger,0.3,0.6,It’s okay to feel anger and it’s important to process it together.
anger,0.3,0.6,It sounds like you're going through anger in this moment—let’s talk through it.
anger,0.6,1,I’d like to understand more about anger —let's take a moment to reflect on it.
anger,0.6,1,You might be experiencing anger and I’m here to support you.
anger,0.6,1,It sounds like you're going through anger —let's take a moment to reflect on it.
anger,0.6,1,Let's talk more about the feeling of anger —let's take a moment to reflect on it.
anger,0.6,1,I’d like to understand more about anger and I’m here to listen.
anger,0.6,1,This is an opportunity to explore anger and how you’re managing it.
anger,0.6,1,Could you share more about anger and what it means to you.
anger,0.6,1,It sounds like you're going through anger and it’s important to process it together.
anger,0.6,1,You might be experiencing anger and how you’re managing it.
anger,0.6,1,I’d like to understand more about anger —let's take a moment to reflect on it.
anger,0.6,1,This is an opportunity to explore anger in this moment—let’s talk through it.
anger,0.6,1,It’s okay to feel anger and what might be triggering it.
anger,0.6,1,Could you share more about anger in this moment—let’s talk through it.
anger,0.6,1,This could be a moment of anger and what might be triggering it.
anger,0.6,1,I'm sensing a strong emotion of anger in this moment—let’s talk through it.
anger,0.6,1,Could you share more about anger and what it means to you.
anger,0.6,1,This could be a moment of anger and what it means to you.
anger,0.6,1,You might be experiencing anger —let's take a moment to reflect on it.
anger,0.6,1,Could you share more about anger and what it means to you.
anger,0.6,1,This could be a moment of anger and let’s explore what we can do about it.
annoyance,0,0.2,Could you share more about annoyance and what might be triggering it.
annoyance,0,0.2,Could you share more about annoyance and I’m here to listen.
annoyance,0,0.2,It seems like you're feeling annoyance and let’s explore what we can do about it.
annoyance,0,0.2,This is an opportunity to explore annoyance and how it’s affecting you right now.
annoyance,0,0.2,Could you share more about annoyance —let's take a moment to reflect on it.
annoyance,0,0.2,It sounds like you're going through annoyance in this moment—let’s talk through it.
annoyance,0,0.2,This is an opportunity to explore annoyance in this moment—let’s talk through it.
annoyance,0,0.2,It seems like you're feeling annoyance and I’m here to support you.
annoyance,0,0.2,You might be experiencing annoyance and I’m here to support you.
annoyance,0,0.2,It sounds like you're going through annoyance and I’m here to listen.
annoyance,0,0.2,It sounds like you're going through annoyance and I’m here to support you.
annoyance,0,0.2,You might be experiencing annoyance and what might be triggering it.
annoyance,0,0.2,It sounds like you're going through annoyance and what might be triggering it.
annoyance,0,0.2,Let's talk more about the feeling of annoyance and it’s important to process it together.
annoyance,0,0.2,I'm sensing a strong emotion of annoyance and what it means to you.
annoyance,0,0.2,This is an opportunity to explore annoyance and what might be triggering it.
annoyance,0,0.2,It seems like you're feeling annoyance and let’s explore what we can do about it.
annoyance,0,0.2,Let's talk more about the feeling of annoyance and what might be triggering it.
annoyance,0,0.2,I’d like to understand more about annoyance and what might be triggering it.
annoyance,0,0.2,I'm sensing a strong emotion of annoyance and I’m here to listen.
annoyance,0.2,0.5,This could be a moment of annoyance and what might be triggering it.
annoyance,0.2,0.5,This is an opportunity to explore annoyance in this moment—let’s talk through it.
annoyance,0.2,0.5,I’d like to understand more about annoyance and how it’s affecting you right now.
annoyance,0.2,0.5,Could you share more about annoyance in this moment—let’s talk through it.
annoyance,0.2,0.5,Let's talk more about the feeling of annoyance and what might be triggering it.
annoyance,0.2,0.5,I'm sensing a strong emotion of annoyance and how you’re managing it.
annoyance,0.2,0.5,It’s okay to feel annoyance and let’s explore what we can do about it.
annoyance,0.2,0.5,This is an opportunity to explore annoyance and how you’re managing it.
annoyance,0.2,0.5,This is an opportunity to explore annoyance and I’m here to listen.
annoyance,0.2,0.5,It’s okay to feel annoyance and I’m here to support you.
annoyance,0.2,0.5,It seems like you're feeling annoyance and I’m here to listen.
annoyance,0.2,0.5,Could you share more about annoyance and how you’re managing it.
annoyance,0.2,0.5,Could you share more about annoyance and what it means to you.
annoyance,0.2,0.5,It’s okay to feel annoyance and how it’s affecting you right now.
annoyance,0.2,0.5,It sounds like you're going through annoyance and I’m here to listen.
annoyance,0.2,0.5,This is an opportunity to explore annoyance and I’m here to support you.
annoyance,0.2,0.5,It seems like you're feeling annoyance and how you’re managing it.
annoyance,0.2,0.5,You might be experiencing annoyance and I’m here to listen.
annoyance,0.2,0.5,You might be experiencing annoyance and let’s explore what we can do about it.
annoyance,0.2,0.5,It sounds like you're going through annoyance in this moment—let’s talk through it.
annoyance,0.5,1,Let's talk more about the feeling of annoyance —let's take a moment to reflect on it.
annoyance,0.5,1,Could you share more about annoyance and how you’re managing it.
annoyance,0.5,1,It sounds like you're going through annoyance and what it means to you.
annoyance,0.5,1,Could you share more about annoyance in this moment—let’s talk through it.
annoyance,0.5,1,Could you share more about annoyance and I’m here to support you.
annoyance,0.5,1,Let's talk more about the feeling of annoyance and how it’s affecting you right now.
annoyance,0.5,1,I'm sensing a strong emotion of annoyance and what might be triggering it.
annoyance,0.5,1,You might be experiencing annoyance and what might be triggering it.
annoyance,0.5,1,It sounds like you're going through annoyance and what it means to you.
annoyance,0.5,1,This is an opportunity to explore annoyance —let's take a moment to reflect on it.
annoyance,0.5,1,Could you share more about annoyance and what it means to you.
annoyance,0.5,1,You might be experiencing annoyance and what might be triggering it.
annoyance,0.5,1,It seems like you're feeling annoyance and what it means to you.
annoyance,0.5,1,It seems like you're feeling annoyance in this moment—let’s talk through it.
annoyance,0.5,1,It sounds like you're going through annoyance and I’m here to support you.
annoyance,0.5,1,It sounds like you're going through annoyance and let’s explore what we can do about it.
annoyance,0.5,1,Could you share more about annoyance and how you’re managing it.
annoyance,0.5,1,Let's talk more about the feeling of annoyance and I’m here to support you.
annoyance,0.5,1,I'm sensing a strong emotion of annoyance and how you’re managing it.
annoyance,0.5,1,I'm sensing a strong emotion of annoyance —let's take a moment to reflect on it.
approval,0,0.4,It’s okay to feel approval and I’m here to support you.
approval,0,0.4,You might be experiencing approval in this moment—let’s talk through it.
approval,0,0.4,You might be experiencing approval —let's take a moment to reflect on it.
approval,0,0.4,I'm sensing a strong emotion of approval —let's take a moment to reflect on it.
approval,0,0.4,Could you share more about approval and I’m here to support you.
approval,0,0.4,I'm sensing a strong emotion of approval and it’s important to process it together.
approval,0,0.4,This is an opportunity to explore approval —let's take a moment to reflect on it.
approval,0,0.4,This could be a moment of approval and let’s explore what we can do about it.
approval,0,0.4,You might be experiencing approval and what it means to you.
approval,0,0.4,This could be a moment of approval and I’m here to support you.
approval,0,0.4,Let's talk more about the feeling of approval and let’s explore what we can do about it.
approval,0,0.4,This could be a moment of approval —let's take a moment to reflect on it.
approval,0,0.4,It’s okay to feel approval and what might be triggering it.
approval,0,0.4,This could be a moment of approval and let’s explore what we can do about it.
approval,0,0.4,This is an opportunity to explore approval and what might be triggering it.
approval,0,0.4,It’s okay to feel approval in this moment—let’s talk through it.
approval,0,0.4,I’d like to understand more about approval and what it means to you.
approval,0,0.4,It’s okay to feel approval in this moment—let’s talk through it.
approval,0,0.4,I'm sensing a strong emotion of approval and it’s important to process it together.
approval,0,0.4,This is an opportunity to explore approval in this moment—let’s talk through it.
approval,0.4,0.7,It sounds like you're going through approval and I’m here to listen.
approval,0.4,0.7,This is an opportunity to explore approval and what it means to you.
approval,0.4,0.7,You might be experiencing approval and what it means to you.
approval,0.4,0.7,It sounds like you're going through approval —let's take a moment to reflect on it.
approval,0.4,0.7,You might be experiencing approval in this moment—let’s talk through it.
approval,0.4,0.7,Let's talk more about the feeling of approval and it’s important to process it together.
approval,0.4,0.7,Let's talk more about the feeling of approval in this moment—let’s talk through it.
approval,0.4,0.7,You might be experiencing approval and it’s important to process it together.
approval,0.4,0.7,Could you share more about approval in this moment—let’s talk through it.
approval,0.4,0.7,This could be a moment of approval and how it’s affecting you right now.
approval,0.4,0.7,I’d like to understand more about approval and what it means to you.
approval,0.4,0.7,You might be experiencing approval and let’s explore what we can do about it.
approval,0.4,0.7,Could you share more about approval and what might be triggering it.
approval,0.4,0.7,You might be experiencing approval —let's take a moment to reflect on it.
approval,0.4,0.7,It’s okay to feel approval and how you’re managing it.
approval,0.4,0.7,Could you share more about approval and how you’re managing it.
approval,0.4,0.7,It’s okay to feel approval and what might be triggering it.
approval,0.4,0.7,This could be a moment of approval and what it means to you.
approval,0.4,0.7,It seems like you're feeling approval and what might be triggering it.
approval,0.4,0.7,This could be a moment of approval in this moment—let’s talk through it.
approval,0.7,1,This could be a moment of approval —let's take a moment to reflect on it.
approval,0.7,1,Could you share more about approval and how you’re managing it.
approval,0.7,1,This could be a moment of approval and how it’s affecting you right now.
approval,0.7,1,It sounds like you're going through approval and how it’s affecting you right now.
approval,0.7,1,Let's talk more about the feeling of approval and it’s important to process it together.
approval,0.7,1,It seems like you're feeling approval and what it means to you.
approval,0.7,1,I’d like to understand more about approval and let’s explore what we can do about it.
approval,0.7,1,I'm sensing a strong emotion of approval and what might be triggering it.
approval,0.7,1,It seems like you're feeling approval and it’s important to process it together.
approval,0.7,1,It sounds like you're going through approval in this moment—let’s talk through it.
approval,0.7,1,This could be a moment of approval and how you’re managing it.
approval,0.7,1,It seems like you're feeling approval and I’m here to support you.
approval,0.7,1,It seems like you're feeling approval and how you’re managing it.
approval,0.7,1,This is an opportunity to explore approval and I’m here to support you.
approval,0.7,1,It sounds like you're going through approval and what it means to you.
approval,0.7,1,This could be a moment of approval and it’s important to process it together.
approval,0.7,1,You might be experiencing approval and I’m here to listen.
approval,0.7,1,It seems like you're feeling approval and let’s explore what we can do about it.
approval,0.7,1,This could be a moment of approval in this moment—let’s talk through it.
approval,0.7,1,This could be a moment of approval and how it’s affecting you right now.
caring,0,0.3,It sounds like you're going through caring and what it means to you.
caring,0,0.3,It’s okay to feel caring and it’s important to process it together.
caring,0,0.3,This is an opportunity to explore caring —let's take a moment to reflect on it.
caring,0,0.3,This is an opportunity to explore caring —let's take a moment to reflect on it.
caring,0,0.3,This could be a moment of caring and I’m here to listen.
caring,0,0.3,It’s okay to feel caring in this moment—let’s talk through it.
caring,0,0.3,I’d like to understand more about caring and it’s important to process it together.
caring,0,0.3,You might be experiencing caring and what might be triggering it.
caring,0,0.3,Could you share more about caring —let's take a moment to reflect on it.
caring,0,0.3,This could be a moment of caring and how it’s affecting you right now.
